Latitude,Longitude,Prices,Rating,Restaurant Name,Review Count,Student Location?
37.85905,-122.2589,1,4.0,Tai San Restaurant,213,False
37.8583603,-122.252917,1,4.0,Nabolom Bakery,301,False
37.8531726,-122.2597991,1,3.5,The Smokehouse,408,False
37.85298,-122.26591,2,4.0,The Starry Plough,324,False
37.8564109802246,-122.252670288086,1,3.5,Gordo Taqueria,625,False
37.8573558479548,-122.253145650029,2,4.5,Urban Remedy,32,False
37.85483,-122.24834,1,4.5,Star Meats,201,False
37.8510024077358,-122.252294834414,2,4.0,Sargun Indian Cuisine,468,False
37.8557585924864,-122.266521826386,1,4.0,Taqueria La Familia,344,False
37.8584959,-122.2440589,2,3.5,Rick & Ann's,822,False
37.851133,-122.2523306,2,3.5,Mitama Restaurant,281,False
37.8567237854004,-122.253524780273,2,4.5,Ashby Marketplace,110,False
37.85625,-122.25266,2,3.5,King Yen Restaurant,213,False
37.85552,-122.26628,2,4.5,Emilia's Pizzeria,375,False
37.855464,-122.260147,100,4.5,Genji Sushi Bars,2,False
37.85637,-122.25327,1,3.5,House of Curries,559,False
37.8594360351562,-122.258850097656,1,3.0,Mudrakers Cafe,139,False
37.8562,-122.25316,1,3.5,A'cuppa Tea,265,False
37.85552,-122.26628,1,3.5,Roxie Delicatessen,52,False
37.862000127131,-122.25335217949,1,3.5,Sack's Coffee House,312,False
37.85677,-122.25915,2,3.5,Ethiopia Restaurant,430,False
37.8642006,-122.2690201,100,4.5,Herrick Campus Bistro,2,False
37.8568267822266,-122.253303527832,1,3.0,Espresso Roma,289,False
37.8528805,-122.2661285,2,4.0,La Peña Cultural Center,45,False
37.857811,-122.2427292,100,4.0,Club Bayview Cafe,1,False
37.8584877,-122.2440581,100,4.5,Sidewalk Street Food,3,False
37.856273651123,-122.264976501465,1,5.0,Loving Live Treats,2,False
37.8509377386895,-122.252625977593,2,3.0,Extreme Pizza - College Ave,93,False
37.87994,-122.29714,2,4.5,La Calle 10,115,False
37.86932,-122.30061,3,4.0,Iyasare,478,False
37.8636642673049,-122.318035600974,3,3.5,Skates On The Bay,1940,False
37.87003,-122.30046,2,4.0,Bette's Oceanview Diner,1843,False
37.8696899,-122.3007202,2,3.5,Zut Tavern,168,False
37.86854,-122.29633,2,4.5,Brittany Crepes,98,False
37.8552798181772,-122.292307913303,2,4.0,900 Grayson,1884,False
37.8705491730327,-122.299892242725,2,4.0,Cafe M,1242,False
